Einkaufen,Der Wochen Einkauf oder alles was man so im Edeka kauft.
Benzin,Alles was getankt wurde
Essen,Geld für essen
Feiern,Alles was zum Saufen gehört
Freizeit,Freizeit ausgaben wie Sauna
Miete,Miet ausgaben
Einkommen,Einklommen vom job
Einzahlung,Wenn man mal so an geld kommt und es einzahlt
Unterhalt,Familien Unterhalt
Sonstiges,Alle sonstigen Ausgaben
